match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Tkl,TklW,TklDef 3rd,TklMid 3rd,TklAtt 3rd,vsdribTkl,vsdribAttmp,vsdribTkl%,vsdribPast,Press,Succ,%,PressDef 3rd,PressMid 3rd,PressAtt 3rd,Blocks,ShAttmp,ShSv,Pass,Int,Tkl+Int,Clr,Err
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,0,0,0,0,0,0,0,,0,4,2,50.0,0,2,2,0,0,0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,1,1,0,0,1,0,0,,0,10,2,20.0,2,1,7,0,0,0,0,0,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,0,0,0,0,0,0,0,,0,10,3,30.0,4,5,1,1,0,0,1,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,0,0,0,0,0,0,0,,0,5,2,40.0,2,1,2,0,0,0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,3,2,2,1,0,0,2,0.0,2,24,7,29.2,3,11,10,2,0,0,2,0,3,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,3,3,1,1,1,0,1,0.0,1,33,5,15.2,10,15,8,3,0,0,3,0,3,2,0
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,1,1,0,1,0,0,0,,0,11,4,36.4,5,5,1,3,1,0,2,0,1,1,0
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,2,1,1,1,0,2,2,100.0,0,3,0,0.0,1,1,1,1,0,0,1,0,2,1,0
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,1,0,1,0,0,1,1,100.0,0,4,1,25.0,3,1,0,2,1,0,1,3,4,8,0
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,0,0,0,0,0,0,0,,0,3,2,66.7,1,2,0,3,3,0,0,0,0,6,0
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,0,0,0,0,0,0,1,0.0,1,8,3,37.5,4,4,0,1,1,1,0,1,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,1.0,GK,27-103,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,13 Players,,,,990,11,8,5,4,2,3,7,42.9,4,115,31,27.0,35,48,32,16,6,1,10,4,15,18,0
027b11df,"Friday June 18, 2021",20:00,England,a,Lyndon Dykes,9.0,FW,25-254,90,0,0,0,0,0,0,0,,0,17,1,5.9,2,9,6,0,0,0,0,0,0,2,0
027b11df,"Friday June 18, 2021",20:00,England,a,Che Adams,10.0,FW,24-340,85,1,1,0,0,1,0,1,0.0,1,18,5,27.8,2,9,7,1,1,0,0,2,3,1,0
027b11df,"Friday June 18, 2021",20:00,England,a,Kevin Nisbet,19.0,FW,24-102,5,1,0,0,1,0,1,1,100.0,0,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,John McGinn,7.0,AM,26-243,90,3,2,2,0,1,2,3,66.7,1,21,8,38.1,6,12,3,1,0,0,1,1,4,3,0
027b11df,"Friday June 18, 2021",20:00,England,a,Callum McGregor,8.0,DM,28-004,90,1,1,0,1,0,1,2,50.0,1,21,4,19.0,7,13,1,3,0,0,3,1,2,1,0
027b11df,"Friday June 18, 2021",20:00,England,a,Billy Gilmour,23.0,DM,20-007,75,3,1,2,1,0,0,2,0.0,2,20,6,30.0,8,8,4,1,0,0,1,0,3,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Stuart Armstrong,17.0,DM,29-080,15,0,0,0,0,0,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,1,1,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Andrew Robertson,3.0,WB,27-099,90,1,1,1,0,0,1,1,100.0,0,16,4,25.0,8,3,5,0,0,0,0,2,3,2,0
027b11df,"Friday June 18, 2021",20:00,England,a,Stephen O'Donnell,2.0,WB,29-038,90,2,1,2,0,0,0,0,,0,19,5,26.3,8,10,1,0,0,0,0,2,4,2,0
027b11df,"Friday June 18, 2021",20:00,England,a,Kieran Tierney,6.0,CB,24-013,90,0,0,0,0,0,0,0,,0,6,2,33.3,4,0,2,0,0,0,0,2,2,4,0
027b11df,"Friday June 18, 2021",20:00,England,a,Grant Hanley,5.0,CB,29-210,90,4,3,4,0,0,1,1,100.0,0,12,6,50.0,11,1,0,3,2,0,1,2,6,8,0
027b11df,"Friday June 18, 2021",20:00,England,a,Scott McTominay,4.0,CB,24-192,90,1,1,1,0,0,1,1,100.0,0,15,2,13.3,13,1,1,3,0,0,3,6,7,3,0
027b11df,"Friday June 18, 2021",20:00,England,a,David Marshall,1.0,GK,36-105,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,13 Players,,,,990,17,11,12,3,2,7,12,58.3,5,169,44,26.0,71,67,31,12,3,0,9,19,36,26,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Bruno Petković,20.0,FW,26-279,69,0,0,0,0,0,0,0,,0,8,2,25.0,0,4,4,0,0,0,0,2,2,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Andrej Kramarić,9.0,FW,30-003,21,0,0,0,0,0,0,0,,0,5,0,0.0,0,4,1,0,0,0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ivan Perišić,4.0,LW,32-140,80,3,1,2,0,1,0,3,0.0,3,21,4,19.0,1,12,8,0,0,0,0,0,3,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ante Rebić,17.0,LW,27-274,10,1,1,1,0,0,1,1,100.0,0,7,1,14.3,2,4,1,0,0,0,0,0,1,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Nikola Vlašić,13.0,RW,23-261,75,1,0,0,1,0,0,0,,0,19,8,42.1,3,7,9,0,0,0,0,1,2,2,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Luka Ivanušec,26.0,RW,22-208,15,1,0,1,0,0,0,0,,0,4,1,25.0,1,2,1,0,0,0,0,0,1,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Mateo Kovačić,8.0,CM,27-047,90,1,1,1,0,0,0,0,,0,18,4,22.2,4,11,3,0,0,0,0,1,2,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Luka Modrić,10.0,CM,35-286,90,0,0,0,0,0,0,0,,0,18,2,11.1,4,13,1,0,0,0,0,2,2,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Marcelo Brozović,11.0,DM,28-218,90,3,0,1,2,0,1,1,100.0,0,20,5,25.0,11,9,0,1,0,0,1,0,3,2,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Joško Gvardiol,25.0,LB,19-150,69,1,1,0,1,0,0,1,0.0,1,14,3,21.4,9,5,0,1,0,0,1,1,2,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Borna Barišić,3.0,LB,28-224,21,0,0,0,0,0,0,1,0.0,1,2,2,100.0,1,0,1,0,0,0,0,1,1,3,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Domagoj Vida,21.0,CB,32-054,90,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,2,2,4,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Dejan Lovren,6.0,CB,31-352,90,0,0,0,0,0,0,0,,0,6,3,50.0,3,3,0,2,2,0,0,0,0,10,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Josip Juranović,22.0,RB,25-310,90,0,0,0,0,0,0,1,0.0,1,8,2,25.0,4,3,1,0,0,0,0,2,2,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Dominik Livaković,1.0,GK,26-164,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,15 Players,,,,990,11,4,6,4,1,2,8,25.0,6,153,37,24.2,44,79,30,4,2,0,2,12,23,28,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Che Adams,10.0,FW,24-344,83,0,0,0,0,0,0,1,0.0,1,14,3,21.4,3,6,5,0,0,0,0,1,1,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Kevin Nisbet,19.0,FW,24-106,7,1,1,0,1,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,1,2,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Lyndon Dykes,9.0,FW,25-258,90,0,0,0,0,0,0,1,0.0,1,27,6,22.2,0,12,15,1,0,0,1,0,0,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Stuart Armstrong,17.0,CM,29-084,69,3,2,2,1,0,1,5,20.0,4,26,3,11.5,9,13,4,0,0,0,0,1,4,1,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Ryan Fraser,20.0,CM,27-118,21,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,John McGinn,7.0,"CM,AM",26-247,90,1,0,0,1,0,0,3,0.0,3,32,4,12.5,6,18,8,0,0,0,0,3,4,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Callum McGregor,8.0,DM,28-008,90,1,0,1,0,0,0,3,0.0,3,27,4,14.8,9,16,2,0,0,0,0,4,5,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Andrew Robertson,3.0,"WB,LB",27-103,90,1,1,1,0,0,0,0,,0,13,5,38.5,4,6,3,2,0,0,2,2,3,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Stephen O'Donnell,2.0,WB,29-042,83,1,0,1,0,0,1,2,50.0,1,16,3,18.8,6,5,5,2,0,0,2,1,2,2,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Nathan Patterson,22.0,"RB,WB",19-249,7,1,0,1,0,0,1,2,50.0,1,6,1,16.7,2,1,3,0,0,0,0,0,1,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Kieran Tierney,6.0,CB,24-017,90,1,1,0,1,0,0,0,,0,15,5,33.3,9,6,0,3,1,0,2,2,3,3,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Grant Hanley,5.0,CB,29-214,32,1,1,1,0,0,0,0,,0,10,2,20.0,7,3,0,0,0,0,0,0,1,0,0
