Player,team_name,Pos,Age,Min,Astper90,SCAper90,GCAper90,PassCmpper90,PassAttper90,PassProgper90,PassAccuracy,PercentProgPasses,KeyPassesper90,Opp1/3per90,PPAper90,CrsPAper90,MedPassAcc,LongPassAcc,PTTBper90,PTPressper90,PTSwper90,TotTouchesper90,TouchMid 3rdper90,TouchAtt 3rdper90,TouchAtt Penper90,DribSuccper90,DribAttper90,#Playerslostper90,nutMegsper90,Carriesper90,CarryTotDistper90,CarryPrgDistper90,CarryProgper90,Carry1/3per90,CPAper90,Chances_creation_rating,dribbling_rating,Passing_rating,Possession_keeping,PlayMaker Rating
Aaron Ramsey,Wales,AM,30,353,0.0,2.04,0.0,30.34,39.26,4.33,0.77,0.11,1.02,3.06,1.27,0.25,0.87,0.67,0.0,7.39,2.8,50.48,25.5,18.61,4.59,0.76,1.27,0.76,0.0,32.63,187.9,77.76,2.55,1.02,0.51,2.820084407700757,2.1285004411833004,4.239730497174248,3.2114725894633467,4.362820116375976
Adam Hložek,Czech Republic ,"LW,RW",18,80,0.0,1.12,0.0,18.0,28.12,5.62,0.64,0.2,1.12,0.0,3.38,2.25,0.7,0.25,0.0,3.38,1.12,38.25,14.62,21.38,4.5,0.0,1.12,0.0,0.0,24.75,212.62,149.62,6.75,2.25,0.0,3.190306122448979,1.2489754098360655,3.2284377816218393,4.048514500843027,4.389953474792081
Adrien Rabiot,France,"LB,WB",26,304,0.0,1.78,0.0,52.11,59.8,4.14,0.87,0.07,0.3,4.44,0.89,0.0,0.87,0.83,0.0,12.14,0.59,68.98,37.6,21.02,1.48,0.59,0.59,0.59,0.3,52.11,323.59,176.74,6.81,4.14,0.0,2.3769468313641244,1.8299180327868854,4.943611863445945,5.335603253952463,5.181217096081941
Albin Ekdal,Sweden ,DM,31,387,0.0,0.93,0.0,27.67,31.63,1.63,0.87,0.05,0.47,2.79,0.47,0.0,0.86,0.93,0.47,5.58,0.7,41.16,23.95,6.98,0.23,0.0,0.7,0.23,0.0,23.26,106.98,41.63,2.33,0.7,0.0,1.955861414333175,1.3259626382005338,2.9166261037092087,2.13757148993228,2.6844180620210936
Aleksandar Dragović,Austria ,CB,30,338,0.0,0.8,0.0,53.52,61.78,5.06,0.87,0.08,0.0,5.33,0.27,0.0,0.89,0.84,0.27,8.25,2.4,71.89,41.27,3.2,0.53,0.53,0.53,0.53,0.0,45.53,220.21,124.88,4.79,1.07,0.0,1.964829126917039,1.7071490930255115,4.583057502624136,3.9324954794127587,4.169390624669563
Aleksandar Trajkovski,North Macedonia,"LW,RW",28,174,0.0,3.62,0.0,27.93,33.1,2.59,0.84,0.08,1.55,1.55,1.55,0.52,0.81,1.0,0.0,11.9,1.55,46.03,23.79,20.17,3.1,1.03,3.62,1.03,0.0,40.34,210.0,95.69,4.66,0.52,0.52,3.4616467276565794,2.9460146975692476,4.714555705287518,3.597834862180732,5.269269001413747
Aleksandr Golovin,Russia,"LW,LM",25,270,0.0,2.0,0.0,33.33,43.33,3.33,0.77,0.08,1.0,1.67,2.0,1.33,0.76,0.6,0.33,8.0,1.67,55.0,24.67,31.0,3.0,1.67,2.0,1.67,0.33,39.33,256.67,131.0,8.0,4.33,0.67,3.2534013605442174,3.3360655737704916,3.9253361248256007,4.382064686001124,5.194712146921338
Aleksei Miranchuk,Russia,RW,25,172,0.0,3.66,0.52,24.07,30.87,4.71,0.78,0.15,2.09,2.62,2.62,0.0,0.88,0.33,0.52,6.8,1.57,42.38,18.84,21.45,3.14,1.05,3.14,1.05,0.52,31.4,145.99,74.83,2.09,0.52,0.0,4.08453962980541,2.930041936713687,3.936544999460551,2.856108086564789,5.052551450874031
Alessandro Bastoni,Italy,CB,22,90,0.0,3.0,0.0,78.0,83.0,4.0,0.94,0.05,3.0,3.0,1.0,1.0,0.97,0.8,0.0,6.0,3.0,91.0,59.0,14.0,2.0,0.0,0.0,0.0,0.0,63.0,339.0,247.0,8.0,3.0,0.0,3.65,1.0,3.9492817990303943,6.202357397470147,5.826805404085531
Alessandro Florenzi,Italy ,RB,30,45,0.0,2.0,0.0,86.0,98.0,4.0,0.88,0.04,0.0,6.0,0.0,0.0,0.95,0.56,0.0,6.0,6.0,106.0,54.0,42.0,2.0,0.0,0.0,0.0,0.0,76.0,612.0,416.0,16.0,2.0,2.0,2.8387755102040813,1.0,4.3965001300866025,9.999999999999998,7.032939135392316
Alessandro Schöpf,Austria ,RW,27,90,0.0,4.0,0.0,38.0,44.0,1.0,0.86,0.02,3.0,1.0,1.0,1.0,0.89,1.0,0.0,9.0,0.0,56.0,27.0,25.0,3.0,0.0,1.0,0.0,0.0,46.0,268.0,150.0,11.0,1.0,1.0,4.028571428571428,1.221311475409836,3.4360553446055646,4.654558892592907,5.267395237544656
Alex Král,Czech Republic ,CM,23,127,0.0,0.0,0.0,32.6,49.61,2.83,0.66,0.06,0.0,2.83,0.0,0.0,0.7,0.5,0.0,15.59,0.71,61.65,39.69,15.59,0.71,0.0,0.71,0.0,0.0,36.85,191.34,92.83,4.25,1.42,0.0,1.30660453157641,1.156834903833742,5.309641023642875,3.4200709109407343,3.7359022378863624
Alexander Isak,Sweden ,FW,21,321,0.56,3.36,0.84,14.3,19.35,2.52,0.74,0.13,1.4,0.84,1.12,0.0,0.88,0.88,0.28,9.81,0.0,30.84,10.93,19.91,5.61,3.36,4.21,3.93,0.28,23.55,100.65,63.64,3.36,1.4,0.84,4.002288765973679,6.1087789183392065,3.9330639665959612,2.3887742251237807,5.326397759907627
Andrea Belotti,Italy ,FW,27,154,0.0,3.51,0.0,9.94,13.44,0.58,0.74,0.04,0.58,0.0,0.58,0.0,0.8,1.0,0.0,6.43,0.0,32.73,17.53,15.19,5.26,1.17,2.34,1.17,0.0,18.12,50.26,26.88,2.34,1.17,0.58,2.611913596607474,2.8107302533532046,2.7179656338686318,1.626241507109017,3.066530073100638
Andreas Christensen,Denmark ,CB,25,440,0.0,0.41,0.0,47.66,52.16,3.27,0.91,0.06,0.2,4.91,0.0,0.0,0.92,0.78,0.0,5.93,0.61,60.95,41.11,3.27,0.61,0.0,0.0,0.0,0.0,38.86,179.39,96.55,4.09,0.61,0.0,1.7190398886827456,1.0,3.3495801217329575,3.3184663268427097,3.1364976874637343
Andreas Cornelius,Denmark ,"AM,FW",28,61,1.48,5.9,1.48,28.03,39.84,2.95,0.7,0.07,2.95,1.48,1.48,0.0,0.71,0.4,0.0,14.75,1.48,48.69,19.18,29.51,13.28,4.43,4.43,4.43,0.0,36.89,243.44,156.39,5.9,2.95,0.0,6.186517229842757,6.877452297769417,5.278850278437741,4.527226715269746,8.30866946517436
