match_id,date,time,team_name,home_away,Player,Age,Min,SoTAttmp,GA,Saves,Save%,PSxG,LaunchCmp,LaunchAttmp,LaunchCmp%,PassAtt,PassThrow,PassLaunch%,PassAvgLen,GKAtt,GKLaunch%,GKAvgLen,CrossOpp,CrossStp,CrossStp%,Sweeper#OPA,SweeperAvgDist
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,27-103,90,1,0,1,100.0,0.1,9,17,52.9,25,8,56.0,41.7,7,42.9,36.7,10,0,0.0,2,14.4
027b11df,"Friday June 18, 2021",20:00,Scotland ,a,David Marshall,36-105,90,1,0,1,100.0,0.0,13,26,50.0,21,2,76.2,55.4,10,100.0,69.3,5,0,0.0,0,11.0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Dominik Livaković,26-164,90,3,1,2,66.7,1.7,3,6,50.0,15,6,26.7,28.1,7,28.6,28.6,12,1,8.3,0,6.1
0305e42c,"Tuesday June 22, 2021",20:00,Scotland ,a,David Marshall,36-109,90,7,3,4,57.1,2.5,8,24,33.3,32,3,62.5,46.8,4,100.0,67.8,7,0,0.0,2,14.5
04188c5c,"Monday June 21, 2021",21:00,Russia,h,Matvei Safonov,22-116,90,9,4,5,55.6,3.1,14,21,66.7,20,6,85.0,52.0,6,66.7,55.7,12,1,8.3,1,12.1
04188c5c,"Monday June 21, 2021",21:00,Denmark ,a,Kasper Schmeichel,34-228,90,1,1,1,100.0,1.0,8,22,36.4,27,2,66.7,46.1,6,66.7,49.3,4,0,0.0,0,21.0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,h,Maarten Stekelenburg,38-264,90,5,2,3,60.0,1.2,6,12,50.0,27,4,40.7,36.0,3,33.3,30.7,3,0,0.0,1,21.0
0e9919a5,"Sunday June 13, 2021",21:00,Ukraine ,a,Heorhiy Bushchan,27-013,90,7,3,4,57.1,1.5,6,11,54.5,20,4,35.0,33.4,9,44.4,36.8,9,0,0.0,0,9.2
107fd412,"Monday June 14, 2021",21:00,Spain,h,Unai Simón,24-003,90,0,0,0,,0.0,1,1,100.0,20,3,0.0,19.8,3,33.3,26.3,2,1,50.0,4,23.1
107fd412,"Monday June 14, 2021",21:00,Sweden ,a,Robin Olsen,31-157,90,5,0,5,100.0,1.1,5,30,16.7,20,0,95.0,63.1,11,100.0,69.2,17,0,0.0,0,14.4
14874531,"Saturday June 19, 2021",21:00,Spain,h,Unai Simón,24-008,90,2,1,1,50.0,0.9,4,6,66.7,21,5,23.8,30.3,4,25.0,25.3,5,0,0.0,1,18.2
14874531,"Saturday June 19, 2021",21:00,Poland ,a,Wojciech Szczęsny,31-062,90,5,1,4,80.0,1.7,12,30,40.0,26,2,96.2,58.7,6,83.3,58.7,17,1,5.9,0,12.6
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Yann Sommer,32-197,120,11,1,11,90.9,3.0,19,40,47.5,48,3,66.7,46.7,10,80.0,52.8,16,1,6.3,0,8.0
18c4e831,"Friday July 2, 2021",19:00,Spain ,a,Unai Simón,24-021,120,2,1,1,50.0,2.2,2,2,100.0,37,7,5.4,21.6,7,0.0,19.3,4,0,0.0,5,17.7
1a1e61fe,"Saturday July 3, 2021",20:00,Czech Republic,h,Tomáš Vaclík,32-096,90,7,2,5,71.4,2.1,4,14,28.6,23,6,43.5,36.3,6,66.7,45.2,5,0,0.0,0,12.1
1a1e61fe,"Saturday July 3, 2021",20:00,Denmark ,a,Kasper Schmeichel,34-240,90,5,1,4,80.0,1.8,13,24,54.2,22,4,59.1,46.4,12,91.7,68.5,16,2,12.5,0,13.4
1e930db9,"Friday June 18, 2021",17:00,Croatia,h,Dominik Livaković,26-160,90,0,1,0,,0.9,7,15,46.7,29,6,37.9,36.1,10,40.0,31.7,10,0,0.0,0,10.0
1e930db9,"Friday June 18, 2021",17:00,Czech Republic ,a,Tomáš Vaclík,32-081,90,2,1,1,50.0,0.6,8,24,33.3,35,6,51.4,43.6,8,75.0,52.6,10,3,30.0,0,9.5
20b1972b,"Tuesday June 22, 2021",20:00,Czech Republic,h,Tomáš Vaclík,32-085,90,3,1,1,66.7,1.3,5,10,50.0,21,3,42.9,38.0,2,50.0,47.0,4,0,0.0,0,12.5
20b1972b,"Tuesday June 22, 2021",20:00,England ,a,Jordan Pickford,27-107,90,1,0,1,100.0,0.0,11,24,45.8,37,6,51.4,38.5,8,62.5,52.0,8,1,12.5,0,12.2
25bb1fa2,"Thursday June 17, 2021",18:00,Denmark,h,Kasper Schmeichel,34-224,90,4,2,2,50.0,1.2,8,13,61.5,19,7,57.9,45.4,2,100.0,69.5,4,0,0.0,2,15.4
25bb1fa2,"Thursday June 17, 2021",18:00,Belgium ,a,Thibaut Courtois,29-037,90,5,1,4,80.0,1.7,12,17,70.6,26,8,42.3,37.4,16,37.5,36.3,11,1,9.1,1,13.2
2c48acb2,"Wednesday June 16, 2021",16:00,Finland,h,Lukáš Hrádecký,31-204,90,3,1,2,66.7,1.7,11,20,55.0,25,5,48.0,39.9,16,50.0,43.6,16,0,0.0,1,12.3
2c48acb2,"Wednesday June 16, 2021",16:00,Russia ,a,Matvei Safonov,22-111,90,1,0,1,100.0,0.2,10,16,62.5,19,5,57.9,42.6,7,71.4,48.9,15,0,0.0,1,9.7
2c7de26e,"Monday June 28, 2021",22:00,France,h,Hugo Lloris,34-184,120,4,3,1,25.0,3.0,12,17,70.6,26,7,50.0,39.6,6,66.7,46.0,6,1,16.7,1,16.5
2c7de26e,"Monday June 28, 2021",22:00,Switzerland ,a,Yann Sommer,32-193,120,8,3,5,62.5,3.1,3,8,37.5,18,5,16.7,29.8,17,29.4,34.9,13,0,0.0,0,11.0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Thibaut Courtois,29-052,90,4,2,2,50.0,1.8,5,12,41.7,27,5,37.0,37.0,6,33.3,25.8,6,0,0.0,0,9.8
35a9c7dc,"Friday July 2, 2021",21:00,Italy ,a,Gianluigi Donnarumma,22-127,90,2,1,2,100.0,2.2,5,10,50.0,24,6,37.5,30.3,2,50.0,46.0,5,2,40.0,1,14.2
415ff832,"Tuesday June 29, 2021",17:00,England,h,Jordan Pickford,27-114,90,3,0,3,100.0,0.4,9,20,45.0,29,4,55.2,44.1,5,80.0,63.4,5,0,0.0,1,14.4
415ff832,"Tuesday June 29, 2021",17:00,Germany ,a,Manuel Neuer,35-094,90,4,2,2,50.0,1.6,7,21,33.3,42,6,47.6,35.7,5,20.0,19.6,7,0,0.0,0,13.3
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Maarten Stekelenburg,38-278,90,5,2,3,60.0,2.3,6,32,18.8,40,4,72.5,57.0,4,75.0,55.3,7,2,28.6,0,19.6
437cb418,"Sunday June 27, 2021",18:00,Czech Republic ,a,Tomáš Vaclík,32-090,90,0,0,0,,0.0,5,19,26.3,26,4,53.8,44.1,6,83.3,59.7,8,0,0.0,0,11.9
5a7e53d8,"Wednesday June 23, 2021",21:00,Portugal,h,Rui Patrício,33-128,90,4,2,2,75.0,2.7,1,5,20.0,24,4,20.8,27.1,7,0.0,22.3,5,0,0.0,0,11.5
5a7e53d8,"Wednesday June 23, 2021",21:00,France ,a,Hugo Lloris,34-179,90,3,2,3,100.0,1.7,3,5,60.0,15,4,26.7,30.3,8,12.5,16.8,7,0,0.0,1,19.0
6599f4ab,"Monday June 14, 2021",14:00,Scotland,h,David Marshall,36-101,90,7,2,5,71.4,1.4,8,26,30.8,39,7,46.2,42.6,9,88.9,61.2,9,1,11.1,5,22.6
