match_id,date,time,team_name,home_away,jersey_no,player_name,start_status
027b11df,"Friday June 18, 2021",20:00,England,h,1,Jordan Pickford,Start
027b11df,"Friday June 18, 2021",20:00,England,h,3,Luke Shaw,Start
027b11df,"Friday June 18, 2021",20:00,England,h,4,Declan Rice,Start
027b11df,"Friday June 18, 2021",20:00,England,h,5,John Stones,Start
027b11df,"Friday June 18, 2021",20:00,England,h,9,Harry Kane,Start
027b11df,"Friday June 18, 2021",20:00,England,h,10,Raheem Sterling,Start
027b11df,"Friday June 18, 2021",20:00,England,h,14,Kalvin Phillips,Start
027b11df,"Friday June 18, 2021",20:00,England,h,15,Tyrone Mings,Start
027b11df,"Friday June 18, 2021",20:00,England,h,19,Mason Mount,Start
027b11df,"Friday June 18, 2021",20:00,England,h,20,Phil Foden,Start
027b11df,"Friday June 18, 2021",20:00,England,h,24,Reece James,Start
027b11df,"Friday June 18, 2021",20:00,England,h,13,Aaron Ramsdale,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,23,Sam Johnstone,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,6,Harry Maguire,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,7,Jack Grealish,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,8,Jordan Henderson,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,11,Marcus Rashford,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,12,Kieran Trippier,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,16,Conor Coady,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,17,Jadon Sancho,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,18,Dominic Calvert-Lewin,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,21,Ben Chilwell,Bench
027b11df,"Friday June 18, 2021",20:00,England,h,26,Jude Bellingham,Bench
027b11df,"Friday June 18, 2021",20:00,Scotland ,a,1,David Marshall,Start
027b11df,"Friday June 18, 2021",20:00,Scotland ,a,2,Stephen O'Donnell,Start
027b11df,"Friday June 18, 2021",20:00,Scotland ,a,3,Andrew Robertson,Start
