match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,0,0,0,1,2,0,1,0,0,0,0,0,1,0,2,0.0
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,0,0,0,3,2,1,1,0,1,0,0,0,7,0,2,0.0
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,0,0,0,2,3,1,1,0,0,0,0,0,4,1,2,33.3
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,100.0
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,0,0,0,2,4,0,1,0,2,0,0,0,7,0,0,
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,0,0,0,3,1,0,0,0,3,0,0,0,12,4,2,66.7
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,0,0,0,1,0,0,0,0,1,0,0,0,6,1,3,25.0
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,0,0,0,1,1,0,3,0,1,0,0,0,12,4,2,66.7
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,0,0,0,2,1,0,0,3,0,0,0,0,4,4,4,50.0
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,0,0,0,1,1,0,0,0,0,0,0,0,4,2,4,33.3
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,0,0,0,0,0,0,2,1,0,0,0,0,10,1,1,50.0
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,1.0,GK,27-103,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
027b11df,"Friday June 18, 2021",20:00,England,h,13 Players,,,,990,0,0,0,16,19,2,9,4,8,0,0,0,77,19,24,44.2
027b11df,"Friday June 18, 2021",20:00,England,a,Lyndon Dykes,9.0,FW,25-254,90,0,0,0,3,2,0,1,0,0,0,0,0,5,11,5,68.8
027b11df,"Friday June 18, 2021",20:00,England,a,Che Adams,10.0,FW,24-340,85,0,0,0,3,1,0,0,2,1,0,0,0,6,0,2,0.0
027b11df,"Friday June 18, 2021",20:00,England,a,Kevin Nisbet,19.0,FW,24-102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
027b11df,"Friday June 18, 2021",20:00,England,a,John McGinn,7.0,AM,26-243,90,1,0,0,2,4,0,0,1,2,0,0,0,3,1,2,33.3
027b11df,"Friday June 18, 2021",20:00,England,a,Callum McGregor,8.0,DM,28-004,90,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,
