match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,13,12,1,0,0,2,2,1,0,0,0,0,7,3,3,2,10,0,1,0,8,0,0,2,2
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,6,6,0,0,0,2,1,0,0,0,0,0,4,1,1,1,4,0,0,0,6,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,28,28,0,0,0,5,0,1,0,0,0,0,28,0,0,2,26,0,0,0,25,0,0,1,2
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,31,30,1,1,0,2,2,1,0,0,0,0,21,3,7,28,2,1,0,0,24,0,1,0,1
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,16,16,0,0,0,8,0,0,0,0,0,0,14,1,1,2,13,0,0,0,13,0,0,1,1
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,47,37,10,3,1,7,2,1,6,4,1,1,31,4,12,4,43,0,0,0,35,1,3,1,2
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,54,54,0,0,0,9,3,0,0,0,0,0,40,8,6,6,44,1,0,0,46,1,0,0,1
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,66,64,2,2,0,6,1,0,0,0,0,0,58,2,6,10,54,1,0,0,63,0,0,2,0
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,79,72,7,2,1,9,1,3,0,0,0,0,57,10,12,66,3,2,5,0,69,0,0,6,0
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,55,54,1,1,0,3,0,0,0,0,0,0,48,1,6,53,2,0,0,0,51,0,1,1,0
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,64,62,2,2,0,6,3,0,0,0,0,0,58,1,5,9,54,0,0,0,63,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,88,81,7,1,0,9,1,2,0,0,0,0,72,12,4,6,72,3,6,0,86,0,0,1,0
