match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,KeyPasses,Opp1/3,PPA,CrsPA,Prog
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,8,13,61.5,198,20,3,3,100.0,2,3,66.7,2,3,66.7,0,0.1,1,0,1,0,1
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,6,6,100.0,111,12,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,25,28,89.3,362,86,13,14,92.9,12,13,92.3,0,0,,0,0.2,1,1,2,0,3
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,24,31,77.4,460,47,11,11,100.0,9,13,69.2,4,6,66.7,0,0.0,1,1,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,13,16,81.3,219,42,5,6,83.3,7,8,87.5,1,1,100.0,0,0.0,0,1,1,0,3
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,35,47,74.5,615,258,15,16,93.8,13,16,81.3,5,10,50.0,0,0.2,2,3,3,0,5
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,46,54,85.2,935,112,15,18,83.3,23,23,100.0,7,11,63.6,0,0.0,0,4,1,0,1
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,63,66,95.5,1413,218,11,11,100.0,37,37,100.0,13,15,86.7,0,0.0,0,7,1,0,4
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,69,79,87.3,1101,434,34,35,97.1,24,31,77.4,6,8,75.0,0,0.0,1,1,2,0,8
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,51,55,92.7,1235,433,9,9,100.0,30,30,100.0,12,16,75.0,0,0.0,0,3,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,63,64,98.4,1535,456,10,11,90.9,36,36,100.0,17,17,100.0,0,0.0,0,5,0,0,3
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,86,88,97.7,1500,448,36,37,97.3,47,47,100.0,3,4,75.0,0,0.3,2,5,1,1,11
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,1.0,GK,27-103,90,23,32,71.9,702,380,5,5,100.0,6,6,100.0,12,21,57.1,0,0.0,0,1,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,h,13 Players,,,,990,512,579,88.4,10386,2946,171,180,95.0,247,264,93.6,83,113,73.5,0,0.9,8,32,12,1,39
027b11df,"Friday June 18, 2021",20:00,England,a,Lyndon Dykes,9.0,FW,25-254,90,6,21,28.6,87,41,4,8,50.0,2,8,25.0,0,1,0.0,0,0.0,0,1,0,0,2
027b11df,"Friday June 18, 2021",20:00,England,a,Che Adams,10.0,FW,24-340,85,21,24,87.5,342,53,13,13,100.0,5,7,71.4,2,3,66.7,0,0.0,0,1,1,0,2
027b11df,"Friday June 18, 2021",20:00,England,a,Kevin Nisbet,19.0,FW,24-102,5,2,2,100.0,21,1,2,2,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,John McGinn,7.0,AM,26-243,90,21,24,87.5,380,57,10,11,90.9,8,8,100.0,3,4,75.0,0,0.0,0,1,1,0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Callum McGregor,8.0,DM,28-004,90,34,36,94.4,582,88,17,17,100.0,14,15,93.3,3,3,100.0,0,0.0,1,4,0,0,2
027b11df,"Friday June 18, 2021",20:00,England,a,Billy Gilmour,23.0,DM,20-007,75,40,46,87.0,715,102,17,18,94.4,19,21,90.5,4,6,66.7,0,0.0,0,2,0,0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Stuart Armstrong,17.0,DM,29-080,15,8,9,88.9,133,35,2,2,100.0,5,5,100.0,0,1,0.0,0,0.0,0,0,0,0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Andrew Robertson,3.0,WB,27-099,90,35,48,72.9,702,257,10,11,90.9,20,24,83.3,4,10,40.0,0,0.2,1,4,2,1,5
027b11df,"Friday June 18, 2021",20:00,England,a,Stephen O'Donnell,2.0,WB,29-038,90,29,34,85.3,759,308,7,7,100.0,12,16,75.0,10,11,90.9,0,0.2,2,2,1,1,5
027b11df,"Friday June 18, 2021",20:00,England,a,Kieran Tierney,6.0,CB,24-013,90,37,43,86.0,882,225,8,9,88.9,21,21,100.0,8,13,61.5,0,0.0,1,2,2,1,1
027b11df,"Friday June 18, 2021",20:00,England,a,Grant Hanley,5.0,CB,29-210,90,25,27,92.6,466,97,8,10,80.0,16,16,100.0,1,1,100.0,0,0.0,0,0,0,0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Scott McTominay,4.0,CB,24-192,90,34,40,85.0,635,275,15,16,93.8,16,18,88.9,2,3,66.7,0,0.0,0,2,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,David Marshall,1.0,GK,36-105,90,18,31,58.1,971,829,1,1,100.0,3,3,100.0,14,27,51.9,0,0.0,0,1,0,0,0
027b11df,"Friday June 18, 2021",20:00,England,a,13 Players,,,,990,310,385,80.5,6675,2368,114,125,91.2,141,162,87.0,51,83,61.4,0,0.4,5,20,7,3,21
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Bruno Petković,20.0,FW,26-279,69,20,25,80.0,246,41,15,17,88.2,3,4,75.0,1,2,50.0,0,0.0,0,2,1,0,2
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Andrej Kramarić,9.0,FW,30-003,21,6,7,85.7,96,0,3,3,100.0,2,2,100.0,1,1,100.0,0,0.0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ivan Perišić,4.0,LW,32-140,80,31,40,77.5,495,100,18,21,85.7,9,10,90.0,3,6,50.0,1,0.1,3,2,0,0,1
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ante Rebić,17.0,LW,27-274,10,3,8,37.5,29,17,3,5,60.0,0,2,0.0,0,0,,0,0.0,0,1,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Nikola Vlašić,13.0,RW,23-261,75,24,28,85.7,283,84,17,18,94.4,6,9,66.7,0,0,,0,0.3,1,2,0,0,4
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Luka Ivanušec,26.0,RW,22-208,15,1,1,100.0,38,28,0,0,,0,0,,1,1,100.0,0,0.0,0,1,0,0,1
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Mateo Kovačić,8.0,CM,27-047,90,77,81,95.1,1275,277,37,38,97.4,29,29,100.0,7,10,70.0,1,0.1,3,3,1,0,7
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Luka Modrić,10.0,CM,35-286,90,92,107,86.0,1756,509,47,51,92.2,28,30,93.3,15,20,75.0,1,0.1,1,7,1,0,6
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Marcelo Brozović,11.0,DM,28-218,90,83,89,93.3,1631,335,36,36,100.0,31,37,83.8,15,15,100.0,0,0.1,2,5,0,0,1
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Joško Gvardiol,25.0,LB,19-150,69,57,63,90.5,830,313,36,37,97.3,15,17,88.2,3,6,50.0,0,0.0,0,1,2,1,3
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Borna Barišić,3.0,LB,28-224,21,12,15,80.0,188,117,6,8,75.0,6,6,100.0,0,1,0.0,0,0.0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Domagoj Vida,21.0,CB,32-054,90,51,52,98.1,1002,337,13,14,92.9,32,32,100.0,5,5,100.0,0,0.0,0,1,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Dejan Lovren,6.0,CB,31-352,90,55,61,90.2,1242,335,12,12,100.0,30,32,93.8,13,17,76.5,0,0.0,0,0,0,0,3
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Josip Juranović,22.0,RB,25-310,90,63,72,87.5,1061,234,29,31,93.5,24,25,96.0,5,11,45.5,0,0.0,0,0,1,1,5
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Dominik Livaković,1.0,GK,26-164,90,19,22,86.4,441,262,6,6,100.0,7,7,100.0,6,9,66.7,0,0.0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,15 Players,,,,990,594,671,88.5,10613,2989,278,297,93.6,222,242,91.7,75,104,72.1,3,0.7,10,25,6,2,33
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Che Adams,10.0,FW,24-344,83,9,14,64.3,198,16,1,2,50.0,5,8,62.5,2,2,100.0,0,0.0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Kevin Nisbet,19.0,FW,24-106,7,1,2,50.0,22,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Lyndon Dykes,9.0,FW,25-258,90,8,12,66.7,154,21,4,6,66.7,3,5,60.0,1,1,100.0,0,0.2,3,1,0,0,0
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,a,Stuart Armstrong,17.0,CM,29-084,69,19,25,76.0,415,133,6,10,60.0,9,10,90.0,4,5,80.0,0,0.3,1,1,3,1,3
