match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,TotTouches,TouchDef Pen,TouchDef 3rd,TouchMid 3rd,TouchAtt 3rd,TouchAtt Pen,TouchLive,DribSucc,DribAtt,DribSucc%,#Playerslost,nutMegs,Carries,CarryTotDist,CarryPrgDist,CarryProg,Carry1/3,CPA,CarryMis,CarryDis,RecTarg,Rec,Rec%,RecProg
027b11df,"Friday June 18, 2021",20:00,England,h,Harry Kane,9.0,FW,27-325,73,20,0,0,11,10,4,19,0,0,,0,0,13,81,54,5,1,3,1,0,27,17,63.0,4
027b11df,"Friday June 18, 2021",20:00,England,h,Marcus Rashford,11.0,FW,23-230,17,8,0,0,2,6,0,8,0,0,,0,0,5,8,3,0,0,0,0,2,12,8,66.7,3
027b11df,"Friday June 18, 2021",20:00,England,h,Raheem Sterling,10.0,"LW,RW",26-192,90,38,1,3,16,22,6,38,1,2,50.0,1,0,36,183,91,7,1,1,5,3,36,30,83.3,10
027b11df,"Friday June 18, 2021",20:00,England,h,Phil Foden,20.0,RW,21-021,62,39,2,6,15,20,4,38,2,3,66.7,2,0,26,129,45,3,0,1,1,1,38,32,84.2,5
027b11df,"Friday June 18, 2021",20:00,England,h,Jack Grealish,7.0,LW,25-281,28,22,0,3,8,14,2,22,1,1,100.0,1,0,19,236,107,6,2,2,1,1,21,18,85.7,3
027b11df,"Friday June 18, 2021",20:00,England,h,Mason Mount,19.0,"CM,AM",22-159,90,61,1,5,30,29,3,51,0,2,0.0,0,1,40,189,95,5,2,1,1,1,43,38,88.4,4
027b11df,"Friday June 18, 2021",20:00,England,h,Kalvin Phillips,14.0,"CM,DM",25-198,90,68,3,10,46,15,1,68,0,2,0.0,0,0,30,131,53,2,3,0,0,0,49,46,93.9,4
027b11df,"Friday June 18, 2021",20:00,England,h,Declan Rice,4.0,DM,22-155,90,74,2,19,54,8,2,72,0,1,0.0,0,0,51,340,142,8,3,0,1,0,60,59,98.3,0
027b11df,"Friday June 18, 2021",20:00,England,h,Luke Shaw,3.0,LB,25-341,90,87,1,17,53,27,3,80,0,0,,0,0,59,415,322,13,5,0,0,1,65,63,96.9,3
027b11df,"Friday June 18, 2021",20:00,England,h,Tyrone Mings,15.0,CB,28-097,90,70,8,40,30,3,2,70,0,0,,0,0,47,262,95,2,0,0,1,0,52,52,100.0,1
027b11df,"Friday June 18, 2021",20:00,England,h,John Stones,5.0,CB,27-021,90,76,12,41,39,2,1,74,1,1,100.0,1,0,52,322,156,2,0,0,1,1,62,61,98.4,1
027b11df,"Friday June 18, 2021",20:00,England,h,Reece James,24.0,RB,21-192,90,92,2,19,57,26,2,85,0,0,,0,0,69,319,209,10,3,0,1,0,75,73,97.3,1
027b11df,"Friday June 18, 2021",20:00,England,h,Jordan Pickford,1.0,GK,27-103,90,35,29,34,1,0,0,26,0,0,,0,0,15,90,55,0,0,0,0,0,15,15,100.0,0
027b11df,"Friday June 18, 2021",20:00,England,h,13 Players,,,,990,690,61,197,362,182,30,651,5,12,41.7,5,1,462,2705,1427,63,20,8,13,10,555,512,92.3,39
027b11df,"Friday June 18, 2021",20:00,England,a,Lyndon Dykes,9.0,FW,25-254,90,30,2,5,14,12,5,30,0,0,,0,0,10,47,14,1,0,0,1,3,43,23,53.5,5
027b11df,"Friday June 18, 2021",20:00,England,a,Che Adams,10.0,FW,24-340,85,33,1,3,12,21,6,32,2,2,100.0,2,0,25,176,53,3,1,0,0,1,34,22,64.7,10
027b11df,"Friday June 18, 2021",20:00,England,a,Kevin Nisbet,19.0,FW,24-102,5,3,0,0,3,0,0,3,0,0,,0,0,1,3,1,0,0,0,0,0,3,2,66.7,0
027b11df,"Friday June 18, 2021",20:00,England,a,John McGinn,7.0,AM,26-243,90,39,3,9,19,12,1,38,1,2,50.0,1,0,22,115,59,2,0,0,1,1,31,25,80.6,2
027b11df,"Friday June 18, 2021",20:00,England,a,Callum McGregor,8.0,DM,28-004,90,47,0,10,29,12,0,47,0,3,0.0,1,0,38,168,77,2,1,0,1,1,38,36,94.7,1
027b11df,"Friday June 18, 2021",20:00,England,a,Billy Gilmour,23.0,DM,20-007,75,51,0,13,32,11,1,49,0,0,,0,0,29,169,79,4,3,0,0,1,38,35,92.1,0
027b11df,"Friday June 18, 2021",20:00,England,a,Stuart Armstrong,17.0,DM,29-080,15,11,1,3,4,8,1,10,0,0,,0,0,8,123,91,1,3,0,1,0,6,6,100.0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Andrew Robertson,3.0,WB,27-099,90,52,3,13,27,21,0,42,0,0,,0,0,27,284,199,6,4,0,0,0,36,32,88.9,1
027b11df,"Friday June 18, 2021",20:00,England,a,Stephen O'Donnell,2.0,WB,29-038,90,43,2,14,20,13,1,38,0,0,,0,0,25,107,21,0,0,0,1,0,35,28,80.0,0
027b11df,"Friday June 18, 2021",20:00,England,a,Kieran Tierney,6.0,CB,24-013,90,51,7,21,27,6,0,47,0,0,,0,0,34,194,136,6,1,0,0,0,32,32,100.0,1
027b11df,"Friday June 18, 2021",20:00,England,a,Grant Hanley,5.0,CB,29-210,90,46,10,29,14,3,3,46,0,0,,0,0,20,56,5,0,0,0,0,0,26,24,92.3,0
027b11df,"Friday June 18, 2021",20:00,England,a,Scott McTominay,4.0,CB,24-192,90,52,6,27,26,3,0,49,0,0,,0,0,38,255,161,4,2,0,0,1,34,32,94.1,0
027b11df,"Friday June 18, 2021",20:00,England,a,David Marshall,1.0,GK,36-105,90,32,28,31,1,0,0,18,0,0,,0,0,11,93,32,0,0,0,0,0,13,13,100.0,0
027b11df,"Friday June 18, 2021",20:00,England,a,13 Players,,,,990,490,63,178,228,122,18,449,3,7,42.9,4,0,288,1790,928,29,15,0,5,8,369,310,84.0,21
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Bruno Petković,20.0,FW,26-279,69,33,1,1,20,12,2,32,0,0,,0,0,30,110,51,2,0,0,3,2,37,25,67.6,7
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Andrej Kramarić,9.0,FW,30-003,21,8,0,2,4,6,2,8,0,0,,0,0,8,109,70,2,1,1,0,1,13,8,61.5,3
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ivan Perišić,4.0,LW,32-140,80,51,2,9,27,19,7,51,1,1,100.0,1,0,40,251,185,12,2,4,2,1,50,37,74.0,2
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Ante Rebić,17.0,LW,27-274,10,10,2,2,4,4,0,10,0,1,0.0,0,0,8,46,23,2,0,0,0,0,7,7,100.0,1
0305e42c,"Tuesday June 22, 2021",20:00,Croatia,h,Nikola Vlašić,13.0,RW,23-261,75,37,1,2,16,23,4,37,3,3,100.0,3,0,35,186,67,6,4,0,3,1,39,31,79.5,8
