Player,team_name,PTTBper90,PTPressper90,PTSwper90
Aaron Ramsey,Wales,0.0,7.393767705382437,2.8045325779036827
Adam Hložek,Czech Republic ,0.0,3.375,1.125
Adama Traoré,Spain ,0.0,19.285714285714285,12.857142857142856
Admir Mehmedi,Switzerland ,0.0,15.749999999999998,2.25
Adrien Rabiot,France,0.0,12.138157894736842,0.5921052631578947
Albin Ekdal,Sweden ,0.46511627906976744,5.5813953488372094,0.6976744186046512
Aleksandar Dragović,Austria ,0.2662721893491124,8.254437869822485,2.396449704142012
Aleksandar Trajkovski,North Macedonia,0.0,11.896551724137932,1.5517241379310345
Aleksandr Golovin,Russia,0.33333333333333337,8.0,1.6666666666666665
Aleksandr Sobolev,Russia,0.0,17.5,0.0
Aleksei Miranchuk,Russia,0.5232558139534884,6.8023255813953485,1.569767441860465
Alessandro Bastoni,Italy,0.0,6.0,3.0
Alessandro Florenzi,Italy ,0.0,6.0,6.0
Alessandro Schöpf,Austria ,0.0,9.0,0.0
Alex Král,Czech Republic ,0.0,15.590551181102361,0.7086614173228346
Alexander Isak,Sweden ,0.2803738317757009,9.813084112149532,0.0
Andrea Belotti,Italy ,0.0,6.428571428571428,0.0
Andreas Christensen,Denmark ,0.0,5.931818181818182,0.6136363636363636
Andreas Cornelius,Denmark ,0.0,14.754098360655737,1.4754098360655739
Andreas Skov Olsen,Denmark,0.0,12.857142857142856,0.0
Andreas Ulmer,Austria,0.0,11.5,1.5
Andrei Semyonov,Russia ,0.0,0.0,1.0
Andrej Kramarić,Croatia,0.0,3.584070796460177,0.0
Andrew Robertson,Scotland ,0.0,8.0,3.666666666666667
Andriy Yarmolenko,Ukraine ,0.20270270270270271,8.513513513513514,0.6081081081081081
András Schäfer,Hungary,0.0,5.921052631578947,0.0
André Silva,Portugal ,0.0,9.23076923076923,0.0
Ante Budimir,Croatia,0.0,4.285714285714286,0.0
Ante Rebić,Croatia,0.0,7.272727272727273,0.0
Antoine Griezmann,France,0.509915014164306,8.413597733711049,3.059490084985836
Anton Shunin,Russia ,0.0,0.0,0.0
Antonio Rüdiger,Germany ,0.0,5.0,1.0
Antonín Barák,Czech Republic,0.0,6.885245901639345,2.9508196721311477
Arijan Ademi,North Macedonia,0.0,7.529880478087649,0.7171314741035857
Artem Besyedin,Ukraine,0.0,4.864864864864865,2.4324324324324325
Artem Dovbyk,Ukraine ,0.0,6.0,0.0
Artem Dzyuba,Russia,0.0,12.954545454545455,0.34090909090909094
Attila Fiola,Hungary,0.0,2.0454545454545454,0.0
Attila Szalai,Hungary,0.0,4.666666666666667,3.0
Axel Witsel,Belgium ,0.0,6.258278145695364,2.384105960264901
Aymeric Laporte,Spain,0.1764705882352941,3.3529411764705883,3.0
Bartosz Bereszyński,Poland ,0.0,7.666666666666666,1.3333333333333335
Ben Davies,Wales,0.0,6.872727272727273,0.9818181818181819
Benjamin Pavard,France,0.0,2.6999999999999997,0.0
Bernardo Silva,Portugal,0.0,9.375,1.5
Billy Gilmour,Scotland ,0.0,12.0,3.6
Boban Nikolov,North Macedonia,0.0,4.5,0.0
Borna Barišić,Croatia,0.0,12.857142857142856,0.0
Breel Embolo,Switzerland,0.0,9.36986301369863,0.4931506849315069
Bruno Fernandes,Portugal,0.8737864077669902,8.300970873786408,3.058252427184466
Bruno Petković,Croatia,0.0,10.988372093023255,0.0
Bryan Cristante,Italy ,0.0,8.059701492537313,1.3432835820895521
Bukayo Saka,England ,0.0,2.980132450331126,0.5960264900662252
Burak Yılmaz,Turkey,0.0,4.666666666666667,0.0
Callum McGregor,Scotland ,0.0,10.588235294117647,0.4411764705882353
Cengiz Ünder,Turkey,0.0,8.737864077669903,4.368932038834951
Che Adams,Scotland ,0.0,6.338028169014085,1.6901408450704225
Chris Gunter,Wales ,0.0,5.0,0.0
Chris Mepham,Wales,0.0,2.666666666666667,0.33333333333333337
Christian Benteke,Belgium ,0.0,12.857142857142856,0.0
Christian Eriksen,Denmark,0.0,12.857142857142856,6.428571428571428
Christian Fassnacht,Switzerland,0.0,7.397260273972602,1.2328767123287672
Christian Nørgaard,Denmark ,0.0,7.232142857142858,0.8035714285714285
Christoph Baumgartner,Austria ,0.0,12.439024390243903,0.3658536585365854
Christopher Trimmel,Austria ,0.0,0.0,0.0
Ciro Immobile,Italy ,0.27607361963190186,9.386503067484663,0.27607361963190186
Clément Lenglet,France,0.0,6.0,0.0
Cody Gakpo,Netherlands ,0.0,22.5,0.0
Connor Roberts,Wales,0.0,4.951456310679611,0.8737864077669902
Corentin Tolisso,France ,0.0,6.585365853658536,3.292682926829268
Cristiano Ronaldo,Portugal,0.0,10.25,0.5
César Azpilicueta,Spain ,0.0,7.40506329113924,0.8544303797468354
Daler Kuzyaev,Russia,0.0,7.783783783783784,0.972972972972973
Daley Blind,Netherlands,0.30405405405405406,4.864864864864865,0.9121621621621622
Dani Olmo,Spain,0.0,6.976744186046512,1.3953488372093024
Daniel Avramovski,North Macedonia ,0.0,12.857142857142856,0.0
Daniel Bachmann,Austria ,0.0,4.384615384615385,1.3846153846153846
Daniel James,Wales,0.0,4.313099041533546,2.300319488817891
Daniel O'Shaughnessy,Finland,0.0,5.666666666666666,2.666666666666667
Daniel Wass,Denmark ,0.0,11.355140186915886,1.6822429906542056
Danilo Pereira,Portugal,0.0,8.69747899159664,3.0252100840336134
Danny Ward,Wales,0.0,0.25,0.5
Darko Churlinov,North Macedonia,0.0,7.874999999999999,0.0
Darko Velkovski,North Macedonia,0.0,5.113636363636363,2.3863636363636362
David Alaba,Austria ,0.0,11.307692307692307,3.6923076923076925
David Brooks,Wales,0.0,2.6470588235294117,2.6470588235294117
David Marshall,Scotland ,0.0,2.666666666666667,2.0
Declan Rice,England,0.0,5.869565217391304,0.9782608695652174
Dedryck Boyata,Belgium ,0.0,3.5,1.5
Dejan Kulusevski,Sweden,0.0,8.863636363636363,0.0
Dejan Lovren,Croatia,0.0,4.5,1.0
Denis Cheryshev,Russia ,0.0,0.0,0.0
Denis Zakaria,Switzerland,0.0,2.88,0.0
Dennis Praet,Belgium,0.0,0.0,0.0
Denzel Dumfries,Netherlands,0.0,4.571428571428571,0.8571428571428572
Diogo Dalot,Portugal,0.0,7.9411764705882355,2.6470588235294117
Diogo Jota,Portugal,0.0,6.16822429906542,0.8411214953271028
Djibril Sow,Switzerland,0.0,7.659574468085106,0.0
Dmitri Barinov,Russia ,0.0,8.0,3.333333333333333
